farm_id,region,crop_type,soil_moisture_%,soil_pH,temperature_C,rainfall_mm,humidity_%,sunlight_hours,irrigation_type,fertilizer_type,pesticide_usage_ml,sowing_date,harvest_date,total_days,yield_kg_per_hectare,sensor_id,timestamp,latitude,longitude,NDVI_index,crop_disease_status,Water_Needed,Heat_Stress,Soil_Health,Water_Amount_Liters,Recommended_Fertilizer,Irrigation_Time,Rain_Impact,Farm_Efficiency
FARM00017,South USA,Wheat,27.18,6.82,21.02,246.97,80.54,6.71,Drip,Mixed,20.32,2024-01-24,2024-04-27,94.21,5190.75,SEN00017,2024-01-01 16:00:00,33.41,88.81,0.34,Mild,1,Low,Poor,20,NPK,Evening,High,Average
FARM00018,South India,Soybean,34.17,5.28,27.21,300.73,42.67,6.79,,Inorganic,24.95,2024-01-12,2024-04-30,115.52,4832.2,SEN00018,2024-01-01 17:00:00,33.11,81.71,0.83,Mild,0,Low,Average,20,Lime+Organic,Evening,High,Good
FARM00019,South USA,Rice,39.9,5.49,13.96,132.4,73.59,6.28,,Organic,30.13,2024-02-02,2024-05-03,89.01,2581.5,SEN00019,2024-01-01 18:00:00,14.21,87.78,0.8,Moderate,0,Low,Average,10,Lime+Organic,Afternoon,High,Average
FARM00020,North India,Wheat,22.09,7.43,22.19,161.82,55.02,3.3,,Mixed,33.07,2024-03-17,2024-08-02,137.39,2331.21,SEN00020,2024-01-01 19:00:00,26.79,88.41,0.65,,1,Low,Poor,20,Organic Compost,Evening,High,Average
FARM00021,South USA,Cotton,36.73,6.03,19.1,209.85,38.94,10.37,Drip,Inorganic,22.19,2024-02-07,2024-05-30,117.18,5454.4,SEN00021,2024-01-01 20:00:00,26.72,89.43,0.46,Severe,1,Low,Average,10,Bio-Fertilizer,Afternoon,High,Good
FARM00022,Central USA,Wheat,19.99,6.06,30.62,165.89,82.15,5.96,Manual,Inorganic,40.02,2024-02-02,2024-06-26,153.1,4374.5,SEN00022,2024-01-01 21:00:00,21.87,73.78,0.34,Severe,1,Low,Poor,30,Bio-Fertilizer,Evening,High,Average
FARM00023,North India,Wheat,15.27,6.29,27.15,212.99,69.99,7.28,Drip,Inorganic,46.32,2024-03-10,2024-07-19,134.75,5835.47,SEN00023,2024-01-01 22:00:00,16.28,86.02,0.5,Severe,1,Low,Poor,30,Bio-Fertilizer,Evening,High,Good
FARM00024,North India,Rice,12.2,6.57,32.39,72.69,78.68,6.79,Sprinkler,Mixed,16.83,2024-03-16,2024-07-02,101.0,5758.09,SEN00024,2024-01-01 23:00:00,15.27,84.9,0.68,,1,Medium,Poor,30,Organic Compost,Evening,High,Good
FARM00025,North India,Maize,12.09,7.54,15.0,66.17,78.63,8.26,Sprinkler,Mixed,3.57,2024-03-23,2024-08-11,148.48,4934.26,SEN00025,2024-01-02 00:00:00,34.34,78.58,0.77,Moderate,1,Low,Poor,30,Organic Compost,Afternoon,High,Good
FARM00026,East Africa,Rice,37.25,7.04,32.71,93.6,86.94,8.44,Drip,Inorganic,40.22,2024-02-28,2024-06-10,99.93,4302.22,SEN00026,2024-01-02 01:00:00,17.4,84.74,0.83,Mild,1,Medium,Average,10,Organic Compost,Evening,High,Good
FARM00027,South India,Cotton,37.87,5.82,20.78,244.62,40.53,7.01,Drip,Inorganic,25.0,2024-03-17,2024-06-23,95.78,5697.45,SEN00027,2024-01-02 02:00:00,23.09,70.77,0.86,Severe,0,Low,Average,10,Lime+Organic,Evening,High,Good
FARM00028,North India,Maize,28.04,8.03,17.82,217.52,60.85,5.77,Drip,Mixed,16.99,2024-02-14,2024-06-17,117.61,3865.91,SEN00028,2024-01-02 03:00:00,20.15,76.81,0.82,,1,Low,Poor,20,Organic Compost,Afternoon,High,Good
FARM00029,North India,Cotton,14.79,6.83,25.55,216.81,50.8,4.98,,Organic,13.31,2024-01-02,2024-04-27,113.64,5242.16,SEN00029,2024-01-02 04:00:00,32.78,89.08,0.41,Mild,1,Low,Poor,30,NPK,Evening,High,Average
FARM00030,Central USA,Soybean,31.96,5.68,28.06,129.17,73.32,9.61,Manual,Inorganic,47.37,2024-01-17,2024-05-11,116.72,3474.98,SEN00030,2024-01-02 05:00:00,18.85,86.22,0.83,,1,Low,Average,20,Lime+Organic,Evening,High,Good
FARM00031,North India,Wheat,10.85,7.26,23.46,158.82,52.69,3.05,,Mixed,31.51,2024-03-17,2024-08-02,132.35,2584.95,SEN00031,2024-01-02 06:00:00,26.87,87.99,0.53,,1,Low,Poor,30,Organic Compost,Evening,High,Average
FARM00032,North India,Rice,27.59,6.2,32.1,222.71,68.96,8.78,Manual,Organic,19.23,2024-01-22,2024-05-24,122.32,2953.36,SEN00032,2024-01-02 07:00:00,16.97,81.22,0.71,Mild,1,Medium,Poor,20,Organic Compost,Evening,High,Average
FARM00033,East Africa,Cotton,11.46,6.9,14.53,240.61,69.91,8.23,,Mixed,45.88,2024-03-05,2024-07-04,113.3,5973.05,SEN00033,2024-01-02 08:00:00,22.99,81.51,0.8,Severe,1,Low,Poor,30,Bio-Fertilizer,Afternoon,High,Good
FARM00034,East Africa,Cotton,13.47,5.58,21.11,242.86,76.95,4.77,Sprinkler,Organic,42.26,2024-01-14,2024-05-02,112.03,3213.71,SEN00034,2024-01-02 09:00:00,34.14,75.93,0.46,Mild,1,Low,Poor,30,Lime+Organic,Evening,High,Average
FARM00035,South USA,Wheat,33.99,5.76,37.77,270.05,54.36,4.57,Sprinkler,Organic,25.33,2024-02-24,2024-06-22,116.91,3224.29,SEN00035,2024-01-02 10:00:00,14.6,78.45,0.6,Moderate,0,Medium,Average,20,Lime+Organic,Early Morning,High,Average
FARM00036,North India,Maize,41.5,6.73,17.67,296.38,78.84,7.44,,Mixed,17.11,2024-03-21,2024-07-10,112.26,1881.67,SEN00036,2024-01-02 11:00:00,30.59,72.23,0.89,Severe,0,Low,Average,10,Bio-Fertilizer,Afternoon,High,Average
FARM00037,South India,Rice,36.86,7.4,27.59,250.35,89.73,7.86,,Inorganic,16.11,2024-02-03,2024-06-06,121.27,3285.08,SEN00037,2024-01-02 12:00:00,12.48,81.46,0.61,Moderate,0,Low,Average,10,Organic Compost,Evening,High,Average
FARM00038,North India,Maize,26.27,6.09,15.42,197.97,56.32,5.41,,Mixed,6.8,2024-01-02,2024-04-25,115.05,3296.34,SEN00038,2024-01-02 13:00:00,27.58,85.83,0.38,Severe,1,Low,Poor,20,Bio-Fertilizer,Afternoon,High,Average
FARM00039,South India,Rice,43.0,7.4,25.42,179.52,68.93,6.07,,Inorganic,13.76,2024-03-01,2024-07-19,136.09,5150.09,SEN00039,2024-01-02 14:00:00,10.89,74.54,0.47,Severe,0,Low,Average,10,Bio-Fertilizer,Evening,High,Good
FARM00040,Central USA,Wheat,15.37,5.75,21.76,231.53,72.01,7.2,Drip,Organic,11.72,2024-03-20,2024-07-12,108.46,5040.23,SEN00040,2024-01-02 15:00:00,31.83,71.79,0.3,,1,Low,Poor,30,Lime+Organic,Evening,High,Average
FARM00041,North India,Cotton,3.06,5.86,29.19,291.7,49.53,6.47,,Mixed,29.4,2024-01-25,2024-06-04,131.6,2807.67,SEN00041,2024-01-02 16:00:00,31.51,71.27,0.73,Moderate,1,Low,Poor,30,Lime+Organic,Evening,High,Average
FARM00042,Central USA,Soybean,31.98,6.8,23.18,252.31,64.25,9.56,Sprinkler,Organic,10.03,2024-03-20,2024-07-04,112.46,5661.27,SEN00042,2024-01-02 17:00:00,20.44,70.62,0.58,,1,Low,Average,20,Organic Compost,Evening,High,Good
FARM00043,North India,Cotton,18.24,6.98,22.46,67.28,53.06,8.15,Manual,Mixed,14.81,2024-02-05,2024-05-24,100.45,4821.31,SEN00043,2024-01-02 18:00:00,29.44,81.2,0.62,Severe,1,Low,Poor,30,Bio-Fertilizer,Evening,High,Average
FARM00044,Central USA,Maize,2.24,7.0,23.14,113.46,61.15,8.42,Drip,Organic,14.32,2024-03-15,2024-08-01,133.55,5195.2,SEN00044,2024-01-02 19:00:00,28.18,82.23,0.36,Severe,1,Low,Poor,30,Bio-Fertilizer,Evening,High,Average
FARM00045,East Africa,Soybean,33.98,6.18,26.05,126.87,72.17,6.34,Manual,Inorganic,16.83,2024-03-23,2024-08-16,151.02,3225.96,SEN00045,2024-01-02 20:00:00,22.84,74.01,0.42,Severe,0,Low,Average,20,Bio-Fertilizer,Evening,High,Average
FARM00046,South USA,Rice,23.99,5.13,11.24,56.46,79.96,5.91,,Inorganic,43.17,2024-01-14,2024-04-24,101.21,3235.78,SEN00046,2024-01-02 21:00:00,19.09,76.18,0.25,,1,Low,Poor,20,Lime+Organic,Afternoon,High,Average
FARM00047,East Africa,Rice,27.6,6.2,28.74,119.32,46.51,4.25,Drip,Mixed,15.32,2024-02-24,2024-05-31,97.79,3979.58,SEN00047,2024-01-02 22:00:00,22.02,81.85,0.65,Severe,1,Low,Poor,20,Bio-Fertilizer,Evening,High,Average
FARM00048,South India,Wheat,13.46,6.5,30.79,174.65,86.76,7.26,Manual,Inorganic,27.3,2024-03-19,2024-06-21,104.63,3647.55,SEN00048,2024-01-02 23:00:00,34.98,72.41,0.85,Mild,1,Low,Poor,30,Organic Compost,Evening,High,Average
FARM00049,Central USA,Soybean,35.59,5.27,22.48,203.75,37.65,6.21,Sprinkler,Inorganic,15.17,2024-02-12,2024-06-07,114.09,4391.98,SEN00049,2024-01-03 00:00:00,11.15,75.8,0.67,,0,Low,Average,10,Lime+Organic,Evening,High,Good
FARM00050,Central USA,Rice,13.94,7.41,23.09,109.82,73.42,5.95,,Inorganic,48.02,2024-03-26,2024-08-06,128.11,3279.68,SEN00050,2024-01-03 01:00:00,21.21,85.26,0.65,,1,Low,Poor,30,Organic Compost,Evening,High,Average
FARM00051,Central USA,Soybean,29.97,7.02,21.01,262.65,60.95,9.71,Sprinkler,Organic,14.24,2024-03-20,2024-07-04,101.74,5629.93,SEN00051,2024-01-03 02:00:00,20.77,70.39,0.49,,1,Low,Poor,20,NPK,Evening,High,Good
FARM00052,East Africa,Maize,25.56,6.19,22.15,201.56,64.85,4.17,Manual,Mixed,11.96,2024-02-19,2024-06-07,114.46,5153.3,SEN00052,2024-01-03 03:00:00,31.86,82.96,0.7,Moderate,1,Low,Poor,20,Organic Compost,Evening,High,Good
FARM00053,South India,Soybean,31.42,6.34,30.58,286.07,82.97,7.79,Manual,Inorganic,44.77,2024-02-15,2024-05-31,97.21,2832.78,SEN00053,2024-01-03 04:00:00,27.19,86.44,0.4,,1,Low,Average,20,NPK,Evening,High,Average
FARM00054,South USA,Cotton,25.48,7.38,26.9,289.48,64.93,5.25,Drip,Inorganic,10.57,2024-01-13,2024-05-22,124.88,5070.4,SEN00054,2024-01-03 05:00:00,26.94,74.86,0.52,Moderate,1,Low,Poor,20,Organic Compost,Evening,High,Average
FARM00055,Central USA,Rice,35.47,6.72,16.77,75.47,58.7,5.55,Manual,Inorganic,47.25,2024-02-23,2024-07-12,137.67,2175.46,SEN00055,2024-01-03 06:00:00,31.26,89.19,0.34,Severe,0,Low,Average,10,Bio-Fertilizer,Afternoon,High,Average
FARM00056,Central USA,Cotton,11.86,6.75,20.73,124.14,77.24,8.59,Manual,Mixed,18.95,2024-02-11,2024-06-05,107.21,4888.69,SEN00056,2024-01-03 07:00:00,13.42,78.41,0.8,Mild,1,Low,Poor,30,Organic Compost,Evening,High,Good
FARM00057,South India,Wheat,31.52,7.3,21.02,197.79,70.31,10.18,Sprinkler,Inorganic,22.59,2024-01-20,2024-06-05,132.36,5216.74,SEN00057,2024-01-03 08:00:00,19.82,88.88,0.7,,1,Low,Average,20,Organic Compost,Evening,High,Good
FARM00058,East Africa,Wheat,28.17,6.06,18.56,64.85,45.11,6.13,Sprinkler,Inorganic,8.75,2024-01-27,2024-05-24,123.69,5540.43,SEN00058,2024-01-03 09:00:00,20.16,78.15,0.55,Severe,0,Low,Poor,20,Bio-Fertilizer,Afternoon,High,Good
FARM00059,East Africa,Maize,27.46,6.45,19.52,230.83,65.34,9.62,,Organic,10.16,2024-01-08,2024-04-18,95.91,2189.61,SEN00059,2024-01-03 10:00:00,13.9,79.32,0.46,Severe,1,Low,Poor,20,Bio-Fertilizer,Afternoon,High,Average
FARM00060,East Africa,Soybean,29.61,6.39,30.03,61.4,86.68,5.1,Sprinkler,Mixed,15.09,2024-01-07,2024-04-14,88.64,5869.26,SEN00060,2024-01-03 11:00:00,27.05,85.48,0.33,Severe,0,Low,Poor,20,Bio-Fertilizer,Evening,High,Good
FARM00061,Central USA,Soybean,24.8,7.32,23.67,228.36,61.98,9.02,Manual,Organic,40.19,2024-01-28,2024-06-12,135.8,5670.23,SEN00061,2024-01-03 12:00:00,27.42,70.75,0.8,Mild,1,Low,Poor,20,Organic Compost,Evening,High,Good
FARM00062,North India,Cotton,20.74,6.93,25.28,181.16,88.6,9.86,Drip,Inorganic,8.91,2024-02-06,2024-06-28,132.03,2600.08,SEN00062,2024-01-03 13:00:00,30.71,81.19,0.66,Mild,1,Low,Poor,20,Organic Compost,Evening,High,Average
FARM00063,South India,Soybean,41.01,7.54,34.68,253.67,72.03,8.26,Sprinkler,Mixed,6.41,2024-02-10,2024-05-26,112.25,5544.56,SEN00063,2024-01-03 14:00:00,19.93,70.69,0.77,Mild,0,Medium,Average,10,Organic Compost,Early Morning,High,Good
FARM00064,Central USA,Rice,31.07,6.08,21.61,240.95,43.05,10.45,Sprinkler,Organic,54.89,2024-03-21,2024-07-29,127.24,2590.1,SEN00064,2024-01-03 15:00:00,13.42,70.87,0.84,Mild,1,Low,Average,20,Organic Compost,Evening,High,Average
FARM00065,Central USA,Maize,14.16,6.07,32.92,107.06,60.13,5.21,,Organic,30.96,2024-03-24,2024-07-27,122.02,5496.72,SEN00065,2024-01-03 16:00:00,26.18,77.9,0.61,Moderate,1,Medium,Poor,30,Organic Compost,Evening,High,Good
FARM00066,South USA,Cotton,38.75,6.27,18.37,134.78,64.12,7.73,Sprinkler,Mixed,47.44,2024-03-26,2024-06-25,90.09,5997.21,SEN00066,2024-01-03 17:00:00,18.78,80.77,0.65,Moderate,0,Low,Average,10,Organic Compost,Afternoon,High,Good
FARM00067,North India,Soybean,11.21,6.3,30.0,60.2,52.83,9.78,Drip,Organic,13.91,2024-01-13,2024-05-20,131.66,3988.61,SEN00067,2024-01-03 18:00:00,33.43,79.49,0.53,Severe,1,Low,Poor,30,Bio-Fertilizer,Evening,High,Average
FARM00068,Central USA,Wheat,14.52,5.81,32.76,148.99,88.3,5.57,Manual,Inorganic,40.45,2024-02-02,2024-06-26,142.2,4928.12,SEN00068,2024-01-03 19:00:00,21.86,74.19,0.39,Severe,1,Medium,Poor,30,Lime+Organic,Evening,High,Average
FARM00069,East Africa,Cotton,18.78,6.58,27.9,216.65,84.36,6.18,Sprinkler,Inorganic,28.34,2024-01-08,2024-04-18,89.0,4350.73,SEN00069,2024-01-03 20:00:00,10.16,79.42,0.65,Moderate,1,Low,Poor,30,Organic Compost,Evening,High,Average
FARM00070,East Africa,Soybean,10.71,7.11,18.02,77.61,81.85,8.62,Drip,Mixed,45.91,2024-02-11,2024-06-02,107.46,2866.4,SEN00070,2024-01-03 21:00:00,16.79,89.36,0.7,Mild,1,Low,Poor,30,Organic Compost,Afternoon,High,Average
FARM00071,Central USA,Maize,47.48,6.05,21.46,245.33,55.3,6.98,Drip,Inorganic,44.65,2024-01-06,2024-05-27,145.1,5000.38,SEN00071,2024-01-03 22:00:00,12.93,77.11,0.8,Severe,0,Low,Good,10,Bio-Fertilizer,Evening,High,Good
FARM00072,North India,Wheat,41.91,6.54,36.14,113.19,53.28,5.0,,Mixed,45.13,2024-03-22,2024-07-20,113.79,3200.08,SEN00072,2024-01-03 23:00:00,30.94,78.54,0.83,Moderate,0,Medium,Average,10,Organic Compost,Early Morning,High,Good
FARM00073,East Africa,Rice,32.33,6.02,25.61,301.61,45.99,4.86,,Inorganic,34.34,2024-02-19,2024-05-31,99.43,4140.85,SEN00073,2024-01-04 00:00:00,27.34,88.56,0.57,Moderate,0,Low,Average,20,Organic Compost,Evening,High,Average
FARM00074,South India,Soybean,24.41,5.68,27.63,285.06,36.74,7.39,,Inorganic,23.14,2024-01-12,2024-04-30,108.94,4803.75,SEN00074,2024-01-04 01:00:00,33.39,81.91,0.78,Mild,0,Low,Poor,20,Lime+Organic,Evening,High,Good
FARM00075,North India,Wheat,17.79,6.72,19.52,207.12,53.51,8.43,Sprinkler,Mixed,31.59,2024-01-27,2024-06-02,122.73,5165.6,SEN00075,2024-01-04 02:00:00,27.92,89.65,0.37,,1,Low,Poor,30,NPK,Afternoon,High,Average
FARM00076,South India,Cotton,40.7,7.08,24.77,207.23,36.22,4.98,Drip,Inorganic,19.89,2024-02-06,2024-06-10,126.71,3258.42,SEN00076,2024-01-04 03:00:00,21.98,82.31,0.51,Severe,0,Low,Average,10,Bio-Fertilizer,Evening,High,Average
FARM00077,East Africa,Maize,19.88,5.76,15.12,204.14,37.98,6.86,Manual,Mixed,12.4,2024-01-11,2024-05-25,131.29,2788.71,SEN00077,2024-01-04 04:00:00,11.53,73.04,0.74,Mild,1,Low,Poor,30,Lime+Organic,Afternoon,High,Average
FARM00078,North India,Rice,34.22,6.08,29.87,244.28,54.59,8.07,Manual,Organic,20.38,2024-01-22,2024-05-24,131.02,2896.44,SEN00078,2024-01-04 05:00:00,16.98,80.7,0.59,Mild,1,Low,Average,20,Organic Compost,Evening,High,Average
FARM00079,East Africa,Soybean,26.43,6.8,26.86,243.87,80.29,5.41,Manual,Organic,4.68,2024-01-15,2024-05-24,134.95,5261.16,SEN00079,2024-01-04 06:00:00,30.16,89.65,0.62,Moderate,1,Low,Poor,20,Organic Compost,Evening,High,Good
FARM00080,Central USA,Cotton,10.06,7.29,21.72,160.11,55.0,5.66,,Mixed,12.87,2024-03-15,2024-07-30,136.53,5928.22,SEN00080,2024-01-04 07:00:00,17.27,86.35,0.9,Severe,1,Low,Poor,30,Bio-Fertilizer,Evening,High,Good
FARM00081,East Africa,Maize,19.63,6.74,21.84,188.76,45.38,8.21,Sprinkler,Inorganic,22.37,2024-02-22,2024-06-18,124.51,5938.35,SEN00081,2024-01-04 08:00:00,23.58,71.45,0.77,Mild,1,Low,Poor,30,Organic Compost,Evening,High,Good
FARM00082,Central USA,Rice,42.94,5.9,30.46,209.63,81.33,8.62,Drip,Mixed,36.33,2024-03-07,2024-08-02,149.23,2104.79,SEN00082,2024-01-04 09:00:00,23.73,89.67,0.55,Mild,0,Low,Average,10,Lime+Organic,Evening,High,Average
FARM00083,South India,Maize,23.44,6.69,19.93,163.54,67.91,5.37,Manual,Organic,49.32,2024-03-17,2024-08-04,141.48,5840.27,SEN00083,2024-01-04 10:00:00,19.85,79.56,0.66,Moderate,1,Low,Poor,20,Organic Compost,Afternoon,High,Good
FARM00084,North India,Rice,18.09,7.03,34.25,241.93,54.78,11.59,Sprinkler,Organic,22.96,2024-03-11,2024-06-27,110.77,3473.97,SEN00084,2024-01-04 11:00:00,23.01,83.39,0.34,Mild,1,Medium,Poor,30,NPK,Early Morning,High,Average
FARM00085,North India,Wheat,30.22,6.79,20.3,240.51,59.19,8.93,,Inorganic,9.73,2024-03-19,2024-07-21,125.13,2427.23,SEN00085,2024-01-04 12:00:00,34.04,74.04,0.29,Mild,1,Low,Average,20,NPK,Evening,High,Average
FARM00086,North India,Cotton,28.24,6.54,23.58,33.27,53.98,8.38,Manual,Mixed,10.62,2024-02-05,2024-05-24,112.42,4884.12,SEN00086,2024-01-04 13:00:00,29.23,81.64,0.52,Severe,1,Low,Poor,20,Bio-Fertilizer,Evening,Medium,Average
FARM00087,East Africa,Wheat,29.88,5.81,30.38,114.03,49.73,3.57,Drip,Mixed,38.35,2024-01-15,2024-04-24,101.31,4728.3,SEN00087,2024-01-04 14:00:00,11.09,86.03,0.55,Moderate,0,Low,Poor,20,Lime+Organic,Evening,High,Good
FARM00088,Central USA,Wheat,28.29,5.82,26.9,119.78,57.55,9.84,,Inorganic,46.47,2024-01-23,2024-05-09,108.67,2419.03,SEN00088,2024-01-04 15:00:00,32.12,80.25,0.78,Moderate,1,Low,Poor,20,Lime+Organic,Evening,High,Average
FARM00089,South USA,Cotton,29.29,6.5,29.71,212.08,82.62,7.47,Drip,Mixed,3.28,2024-03-11,2024-07-14,133.84,1998.45,SEN00089,2024-01-04 16:00:00,25.88,87.67,0.32,Moderate,1,Low,Poor,20,NPK,Evening,High,Average
FARM00090,North India,Rice,17.07,6.05,32.36,233.53,50.88,9.63,Sprinkler,Organic,27.56,2024-03-11,2024-06-27,115.63,3422.13,SEN00090,2024-01-04 17:00:00,23.13,83.4,0.46,Mild,1,Medium,Poor,30,NPK,Evening,High,Average
FARM00091,Central USA,Cotton,16.97,5.9,27.44,205.27,70.97,5.09,Manual,Organic,34.99,2024-02-16,2024-06-14,113.16,3839.11,SEN00091,2024-01-04 18:00:00,17.74,81.08,0.43,,1,Low,Poor,30,Lime+Organic,Evening,High,Average
FARM00092,South India,Maize,44.09,6.59,14.6,280.75,48.85,7.87,Manual,Inorganic,2.86,2024-01-14,2024-06-09,146.75,3352.38,SEN00092,2024-01-04 19:00:00,33.46,88.0,0.32,Mild,0,Low,Average,10,NPK,Afternoon,High,Average
FARM00093,East Africa,Rice,6.81,5.78,31.16,282.03,44.72,7.83,,Mixed,43.86,2024-01-11,2024-06-08,148.25,2960.19,SEN00093,2024-01-04 20:00:00,16.09,85.98,0.74,Severe,1,Low,Poor,30,Lime+Organic,Evening,High,Average
FARM00094,Central USA,Rice,26.4,7.44,18.81,70.86,81.5,9.01,Manual,Inorganic,40.55,2024-02-14,2024-06-30,127.79,2328.54,SEN00094,2024-01-04 21:00:00,10.11,72.9,0.66,Moderate,1,Low,Poor,20,Organic Compost,Afternoon,High,Average
FARM00095,South USA,Rice,41.61,6.28,19.11,286.09,71.81,5.66,Manual,Mixed,23.03,2024-03-28,2024-07-01,103.44,2468.74,SEN00095,2024-01-04 22:00:00,29.21,76.65,0.33,Mild,0,Low,Average,10,NPK,Afternoon,High,Average
FARM00096,South USA,Wheat,17.54,7.23,25.85,55.7,84.08,6.13,Sprinkler,Mixed,21.52,2024-02-03,2024-06-13,126.18,3255.3,SEN00096,2024-01-04 23:00:00,19.43,88.55,0.41,Severe,1,Low,Poor,30,Bio-Fertilizer,Evening,High,Average
FARM00097,South USA,Rice,36.24,6.43,16.06,165.92,51.59,10.06,Drip,Mixed,8.16,2024-01-27,2024-06-07,136.44,2132.43,SEN00097,2024-01-05 00:00:00,20.2,87.35,0.38,Mild,1,Low,Average,10,NPK,Afternoon,High,Average
FARM00098,East Africa,Soybean,26.84,6.1,24.68,59.35,78.96,4.32,Sprinkler,Mixed,21.82,2024-01-07,2024-04-14,90.36,5807.27,SEN00098,2024-01-05 01:00:00,27.28,85.97,0.4,Severe,0,Low,Poor,20,Bio-Fertilizer,Evening,High,Good
